,Pos,Sense1,Sense2,Merge
0,v,consult#v#3,consult#v#4,not-merged
1,v,consult#v#3,consult#v#1,not-merged
2,v,consult#v#3,consult#v#2,not-merged
3,v,consult#v#4,consult#v#1,not-merged
4,v,consult#v#4,consult#v#2,not-merged
5,v,consult#v#1,consult#v#2,merged
6,v,age#v#,age#v#1,not-merged
7,v,age#v#,age#v#2,not-merged
8,v,age#v#,age#v#3,not-merged
9,v,age#v#1,age#v#2,merged
10,v,age#v#1,age#v#3,merged
11,v,age#v#2,age#v#3,merged
12,n,chain#n#1,chain#n#2,not-merged
13,n,chain#n#1,chain#n#4,not-merged
14,n,chain#n#1,chain#n#9,not-merged
15,n,chain#n#1,chain#n#8,not-merged
16,n,chain#n#1,chain#n#6,not-merged
17,n,chain#n#2,chain#n#4,not-merged
18,n,chain#n#2,chain#n#9,not-merged
19,n,chain#n#2,chain#n#8,not-merged
20,n,chain#n#2,chain#n#6,not-merged
21,n,chain#n#4,chain#n#9,not-merged
22,n,chain#n#4,chain#n#8,not-merged
23,n,chain#n#4,chain#n#6,not-merged
24,n,chain#n#9,chain#n#8,not-merged
25,n,chain#n#9,chain#n#6,not-merged
26,n,chain#n#8,chain#n#6,not-merged
27,n,guideline#n#1,guideline#n#2,not-merged
28,n,guideline#n#1,guideline#n#3,not-merged
29,n,guideline#n#2,guideline#n#3,merged
30,v,provide#v#3,provide#v#1,not-merged
31,v,provide#v#3,provide#v#2,not-merged
32,v,provide#v#3,provide#v#4,not-merged
33,v,provide#v#3,provide#v#5,not-merged
34,v,provide#v#3,provide#v#6,not-merged
35,v,provide#v#3,provide#v#7,not-merged
36,v,provide#v#1,provide#v#2,merged
37,v,provide#v#1,provide#v#4,merged
38,v,provide#v#1,provide#v#5,merged
39,v,provide#v#1,provide#v#6,not-merged
40,v,provide#v#1,provide#v#7,not-merged
41,v,provide#v#2,provide#v#4,merged
42,v,provide#v#2,provide#v#5,merged
43,v,provide#v#2,provide#v#6,not-merged
44,v,provide#v#2,provide#v#7,not-merged
45,v,provide#v#4,provide#v#5,merged
46,v,provide#v#4,provide#v#6,not-merged
47,v,provide#v#4,provide#v#7,not-merged
48,v,provide#v#5,provide#v#6,not-merged
49,v,provide#v#5,provide#v#7,not-merged
50,v,provide#v#6,provide#v#7,merged
51,v,approve#v#1,approve#v#2,not-merged
52,v,require#v#1,require#v#4,merged
53,v,require#v#1,require#v#2,not-merged
54,v,require#v#1,require#v#3,not-merged
55,v,require#v#4,require#v#2,not-merged
56,v,require#v#4,require#v#3,not-merged
57,v,require#v#2,require#v#3,merged
58,v,compare#v#1,compare#v#4,not-merged
59,v,compare#v#1,compare#v#2,not-merged
60,v,compare#v#1,compare#v#3,not-merged
61,v,compare#v#4,compare#v#2,not-merged
62,v,compare#v#4,compare#v#3,not-merged
63,v,compare#v#2,compare#v#3,merged
64,n,treat#n#1,treat#n#2,not-merged
65,v,process#v#3,process#v#,not-merged
66,v,process#v#3,process#v#7,not-merged
67,v,process#v#3,process#v#2,not-merged
68,v,process#v#3,process#v#5,not-merged
69,v,process#v#3,process#v#1,not-merged
70,v,process#v#3,process#v#4,not-merged
71,v,process#v#3,process#v#6,not-merged
72,v,process#v#,process#v#7,not-merged
73,v,process#v#,process#v#2,not-merged
74,v,process#v#,process#v#5,not-merged
75,v,process#v#,process#v#1,not-merged
76,v,process#v#,process#v#4,not-merged
77,v,process#v#,process#v#6,not-merged
78,v,process#v#7,process#v#2,not-merged
79,v,process#v#7,process#v#5,not-merged
80,v,process#v#7,process#v#1,not-merged
81,v,process#v#7,process#v#4,not-merged
82,v,process#v#7,process#v#6,not-merged
83,v,process#v#2,process#v#5,merged
84,v,process#v#2,process#v#1,not-merged
85,v,process#v#2,process#v#4,not-merged
86,v,process#v#2,process#v#6,not-merged
87,v,process#v#5,process#v#1,not-merged
88,v,process#v#5,process#v#4,not-merged
89,v,process#v#5,process#v#6,not-merged
90,v,process#v#1,process#v#4,merged
91,v,process#v#1,process#v#6,merged
92,v,process#v#4,process#v#6,merged
93,v,plead#v#1,plead#v#,not-merged
94,v,plead#v#1,plead#v#2,not-merged
95,v,plead#v#1,plead#v#3,not-merged
96,v,plead#v#1,plead#v#4,not-merged
97,v,plead#v#,plead#v#2,not-merged
98,v,plead#v#,plead#v#3,not-merged
99,v,plead#v#,plead#v#4,not-merged
100,v,plead#v#2,plead#v#3,merged
101,v,plead#v#2,plead#v#4,merged
102,v,plead#v#3,plead#v#4,merged
103,v,underwrite#v#1,underwrite#v#2,merged
104,n,arch#n#4,arch#n#1,not-merged
105,n,arch#n#4,arch#n#2,not-merged
106,n,arch#n#4,arch#n#3,not-merged
107,n,arch#n#1,arch#n#2,not-merged
108,n,arch#n#1,arch#n#3,not-merged
109,n,arch#n#2,arch#n#3,not-merged
110,v,fix#v#1,fix#v#5,not-merged
111,v,fix#v#1,fix#v#9,not-merged
112,v,fix#v#1,fix#v#2,not-merged
113,v,fix#v#1,fix#v#8,not-merged
114,v,fix#v#1,fix#v#10,not-merged
