,Unnamed: 0,Pos,Sense1,Sense2,Merge,pertainyms,antonyms,deriv,lemmas,verbgroup,verbframe,hyper_min,hyper_max
0,0,v,consult#v#3,consult#v#4,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,0.5,5.5
1,1,v,consult#v#3,consult#v#1,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0
2,2,v,consult#v#3,consult#v#2,not-merged,0.0,0.0,1.0,1.0,0.0,0.0,,
3,3,v,consult#v#4,consult#v#1,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,2.5,4.5
4,4,v,consult#v#4,consult#v#2,not-merged,0.0,0.0,1.0,1.0,0.0,0.0,,
5,5,v,consult#v#1,consult#v#2,merged,0.0,0.0,1.0,1.0,0.0,1.0,,
6,6,v,age#v#,age#v#1,not-merged,,,,,,,,
7,7,v,age#v#,age#v#2,not-merged,,,,,,,,
8,8,v,age#v#,age#v#3,not-merged,,,,,,,,
9,9,v,age#v#1,age#v#2,merged,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
10,10,v,age#v#1,age#v#3,merged,0.0,0.0,0.0,1.0,0.0,0.0,,
11,11,v,age#v#2,age#v#3,merged,0.0,0.0,1.0,1.0,0.0,0.0,,
12,12,n,chain#n#1,chain#n#2,not-merged,0.0,0.0,1.0,1.0,,,4.5,4.5
13,13,n,chain#n#1,chain#n#4,not-merged,0.0,0.0,0.0,1.0,,,3.5,6.5
14,14,n,chain#n#1,chain#n#9,not-merged,0.0,0.0,0.0,1.0,,,7.0,7.0
15,15,n,chain#n#1,chain#n#8,not-merged,0.0,0.0,0.0,1.0,,,4.5,4.5
16,16,n,chain#n#1,chain#n#6,not-merged,0.0,0.0,0.0,1.0,,,3.5,5.5
17,17,n,chain#n#2,chain#n#4,not-merged,0.0,0.0,0.0,1.0,,,5.0,5.0
18,18,n,chain#n#2,chain#n#9,not-merged,0.0,0.0,0.0,1.0,,,4.5,5.5
19,19,n,chain#n#2,chain#n#8,not-merged,0.0,0.0,0.0,1.0,,,2.0,3.0
20,20,n,chain#n#2,chain#n#6,not-merged,0.0,0.0,0.0,1.0,,,4.0,4.0
21,21,n,chain#n#4,chain#n#9,not-merged,0.0,0.0,0.0,1.0,,,7.5,7.5
22,22,n,chain#n#4,chain#n#8,not-merged,0.0,0.0,0.0,1.0,,,5.0,5.0
23,23,n,chain#n#4,chain#n#6,not-merged,0.0,0.0,0.0,1.0,,,4.0,6.0
24,24,n,chain#n#9,chain#n#8,not-merged,0.0,0.0,0.0,1.0,,,3.5,5.5
25,25,n,chain#n#9,chain#n#6,not-merged,0.0,0.0,0.0,1.0,,,6.5,6.5
26,26,n,chain#n#8,chain#n#6,not-merged,0.0,0.0,0.0,1.0,,,4.0,4.0
27,27,n,guideline#n#1,guideline#n#2,not-merged,0.0,0.0,0.0,1.0,,,3.5,8.0
28,28,n,guideline#n#1,guideline#n#3,not-merged,0.0,0.0,0.0,1.0,,,5.0,7.0
29,29,n,guideline#n#2,guideline#n#3,merged,0.0,0.0,0.0,1.0,,,2.5,9.0
30,30,v,provide#v#3,provide#v#1,not-merged,0.0,0.0,1.0,1.0,0,0,,
31,31,v,provide#v#3,provide#v#2,not-merged,0.0,0.0,1.0,1.0,0,0,,
32,32,v,provide#v#3,provide#v#4,not-merged,0.0,0.0,0.0,1.0,0,0,,
33,33,v,provide#v#3,provide#v#5,not-merged,0.0,0.0,0.0,1.0,0,0,,
34,34,v,provide#v#3,provide#v#6,not-merged,0.0,0.0,1.0,1.0,0,0,,
35,35,v,provide#v#3,provide#v#7,not-merged,0.0,0.0,0.0,1.0,0,0,,
36,36,v,provide#v#1,provide#v#2,merged,0.0,0.0,1.0,2.0,0,1,0.0,1.0
37,37,v,provide#v#1,provide#v#4,merged,0.0,0.0,0.0,1.0,0,1,,
38,38,v,provide#v#1,provide#v#5,merged,0.0,0.0,0.0,1.0,0,1,1.0,2.0
39,39,v,provide#v#1,provide#v#6,not-merged,0.0,0.0,1.0,1.0,0,0,0.5,1.5
40,40,v,provide#v#1,provide#v#7,not-merged,0.0,0.0,0.0,1.0,0,0,,
41,41,v,provide#v#2,provide#v#4,merged,0.0,0.0,0.0,1.0,0,1,,
42,42,v,provide#v#2,provide#v#5,merged,0.0,0.0,0.0,1.0,0,1,1.0,2.0
43,43,v,provide#v#2,provide#v#6,not-merged,0.0,0.0,1.0,1.0,0,0,0.5,1.5
44,44,v,provide#v#2,provide#v#7,not-merged,0.0,0.0,0.0,1.0,0,0,,
45,45,v,provide#v#4,provide#v#5,merged,0.0,0.0,0.0,1.0,0,1,,
46,46,v,provide#v#4,provide#v#6,not-merged,0.0,0.0,0.0,1.0,0,0,,
47,47,v,provide#v#4,provide#v#7,not-merged,0.0,0.0,0.0,1.0,0,0,,
48,48,v,provide#v#5,provide#v#6,not-merged,0.0,0.0,0.0,1.0,0,1,1.5,2.5
49,49,v,provide#v#5,provide#v#7,not-merged,0.0,0.0,0.0,1.0,0,1,,
50,50,v,provide#v#6,provide#v#7,merged,0.0,0.0,0.0,1.0,0,1,,
51,51,v,approve#v#1,approve#v#2,not-merged,0.0,1.0,1.0,1.0,0,1,,
52,52,v,require#v#1,require#v#4,merged,0.0,0.0,1.0,2.0,0,1,,
53,53,v,require#v#1,require#v#2,not-merged,0.0,0.0,1.0,2.0,0,1,,
54,54,v,require#v#1,require#v#3,not-merged,0.0,0.0,0.0,1.0,0,1,,
55,55,v,require#v#4,require#v#2,not-merged,0.0,0.0,1.0,1.0,0,0,,
56,56,v,require#v#4,require#v#3,not-merged,0.0,0.0,0.0,1.0,0,0,,
57,57,v,require#v#2,require#v#3,merged,0.0,0.0,0.0,1.0,0,1,2.0,6.0
58,58,v,compare#v#1,compare#v#4,not-merged,0.0,0.0,0.0,1.0,0,1,,
59,59,v,compare#v#1,compare#v#2,not-merged,0.0,0.0,1.0,1.0,0,0,,
60,60,v,compare#v#1,compare#v#3,not-merged,0.0,0.0,1.0,1.0,0,1,,
61,61,v,compare#v#4,compare#v#2,not-merged,0.0,0.0,0.0,1.0,0,0,,
62,62,v,compare#v#4,compare#v#3,not-merged,0.0,0.0,0.0,1.0,0,0,,
