,Version,WordPos,SenseNums,Group,GroupSense
0,2.1,home-n,"1,2,5,6",1,1
1,2.1,home-n,2,1,2
2,2.1,home-n,"3,6",1,3
3,2.1,home-n,"3,9",1,4
4,2.1,home-n,7,1,5
5,2.1,domination-n,"1,2",1,1
7,2.1,partnership-n,"1,3",1,1
8,2.1,partnership-n,2,1,2
9,2.1,network-n,1,1,1
10,2.1,network-n,2,1,2
11,2.1,network-n,"4,5",1,3
12,2.1,network-n,3,1,4
13,2.1,project-v,1,1,1
14,2.1,project-v,2,1,2
15,2.1,project-v,"5,10,11",1,3
16,2.1,project-v,"3,4,6,12",1,4
17,2.1,project-v,"7,8,9",1,5
18,2.1,project-v,9,1,6
19,2.1,accuse-v,"1,2",1,1
25,2.1,wonder-v,"1,2",1,1
26,2.1,wonder-v,3,1,2
27,2.1,relate-v,"1,4",1,1
28,2.1,relate-v,2,1,2
29,2.1,relate-v,5,1,3
30,2.1,relate-v,3,1,4
31,2.1,coach-n,1,1,1
32,2.1,coach-n,,1,2
33,2.1,coach-n,3,1,3
34,2.1,coach-n,4,1,4
35,2.1,coach-n,5,1,5
36,2.1,coach-n,3,1,6
37,2.1,depend-v,1,1,1
38,2.1,depend-v,2,1,2
39,2.1,inform-v,1,1,1
40,2.1,inform-v,2,1,2
41,2.1,inform-v,3,1,3
42,2.1,seize-v,"1,6",1,1
43,2.1,seize-v,,1,2
44,2.1,seize-v,"2,3,4,5",1,3
45,2.1,seize-v,7,1,4
46,2.1,seize-v,,1,5
47,2.1,resist-v,2,1,1
48,2.1,resist-v,"3,4,5,6",1,2
49,2.1,resist-v,1,1,3
50,2.1,sickness-n,1,1,1
51,2.1,sickness-n,2,1,2
52,2.1,sickness-n,3,1,3
53,2.1,translate-v,"1,3",1,1
54,2.1,translate-v,"2,6,7",1,2
55,2.1,translate-v,4,1,3
56,2.1,translate-v,9,1,4
57,2.1,translate-v,"5,8",1,5
58,2.1,translate-v,10,1,6
59,2.1,force-v,"1,2,4,6",1,1
60,2.1,force-v,"3,5,7,8,9",1,2
61,2.1,force-v,,1,3
62,2.1,force-v,,1,4
73,2.1,transform-v,"2,3,4",1,1
74,2.1,transform-v,5,1,2
75,2.1,transform-v,1,1,3
76,2.1,transform-v,6,1,4
77,2.1,transform-v,7,1,5
90,2.1,deny-v,"1,2,6",1,1
91,2.1,deny-v,"3,4,5",1,2
92,2.1,deny-v,7,1,3
98,2.1,reverse-v,1,1,1
99,2.1,reverse-v,"3,4",1,2
100,2.1,reverse-v,2,1,3
101,2.1,reverse-v,,1,4
102,2.1,repeat-v,"1,2,3,5,6",1,1
103,2.1,repeat-v,4,1,2
104,2.1,arise-v,"1,2,4",1,1
105,2.1,arise-v,5,1,2
106,2.1,arise-v,3,1,3
107,2.1,arise-v,7,1,4
108,2.1,arise-v,6,1,5
109,2.1,disappear-v,"1,2,3",1,1
117,2.1,agent-n,"1,2",1,1
118,2.1,agent-n,5,1,2
119,2.1,agent-n,6,1,3
