,Unnamed: 0,Pos,Sense1,Sense2,Merge,pertainyms,antonyms,deriv,lemmas,verbgroup,verbframe,hyper_min,hyper_max
0,0,v,roll#v#12,wander#v#03,merged,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5
1,1,v,observe#v#06,observe#v#09,merged,0.0,0.0,1.0,2.0,0.0,1.0,,
2,2,v,observe#v#06,observe#v#08,not-merged,0.0,0.0,0.0,2.0,0.0,1.0,,
3,3,v,observe#v#09,observe#v#08,not-merged,0.0,0.0,0.0,2.0,0.0,1.0,,
4,4,v,wash_up#v#03,wash_up#v#01,merged,0.0,0.0,1.0,1.0,0.0,1.0,,
5,5,v,wash_up#v#03,wash_up#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
6,6,v,wash_up#v#03,wash_up#v#02,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
7,7,v,wash_up#v#01,wash_up#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
8,8,v,wash_up#v#01,wash_up#v#02,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
9,9,v,wash_up#v#04,wash_up#v#02,merged,0.0,0.0,0.0,1.0,0.0,0.0,,
10,12,v,draw#v#20,draw#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
11,13,v,draw#v#20,draw#v#06,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
12,15,v,draw#v#20,draw#v#07,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
13,16,v,draw#v#20,draw#v#05,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
14,17,v,draw#v#20,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
15,25,v,draw#v#20,draw#v#12,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
16,28,v,draw#v#20,draw#v#22,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
17,31,v,draw#v#16,draw#v#10,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
18,32,v,draw#v#16,draw#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
19,33,v,draw#v#16,draw#v#06,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
20,35,v,draw#v#16,draw#v#07,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
21,36,v,draw#v#16,draw#v#05,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
22,37,v,draw#v#16,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
23,45,v,draw#v#16,draw#v#12,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
24,46,v,draw#v#16,draw#v#15,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
25,48,v,draw#v#16,draw#v#22,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
26,51,v,draw#v#10,draw#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
27,52,v,draw#v#10,draw#v#06,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5
28,54,v,draw#v#10,draw#v#07,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
29,55,v,draw#v#10,draw#v#05,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
30,56,v,draw#v#10,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
31,64,v,draw#v#10,draw#v#12,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
32,67,v,draw#v#10,draw#v#22,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
33,70,v,draw#v#04,draw#v#06,merged,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5
34,71,v,draw#v#04,draw#v#19,merged,0.0,0.0,0.0,1.0,0.0,0.0,,
35,72,v,draw#v#04,draw#v#07,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
36,73,v,draw#v#04,draw#v#05,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
37,74,v,draw#v#04,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
38,75,v,draw#v#04,draw#v#14,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
39,76,v,draw#v#04,draw#v#17,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
40,77,v,draw#v#04,draw#v#21,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
41,78,v,draw#v#04,draw#v#36,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
42,79,v,draw#v#04,draw#v#33,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
43,80,v,draw#v#04,draw#v#32,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
44,81,v,draw#v#04,draw#v#35,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
45,82,v,draw#v#04,draw#v#12,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
46,83,v,draw#v#04,draw#v#15,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5
47,84,v,draw#v#04,draw#v#18,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5
48,85,v,draw#v#04,draw#v#22,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
49,86,v,draw#v#04,draw#v#23,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
50,87,v,draw#v#04,draw#v#31,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
51,88,v,draw#v#06,draw#v#19,merged,0.0,0.0,1.0,1.0,0.0,1.0,,
52,89,v,draw#v#06,draw#v#07,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,,
53,90,v,draw#v#06,draw#v#05,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,,
54,91,v,draw#v#06,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
