,Unnamed: 0,Pos,Sense1,Sense2,Merge,pertainyms,antonyms,deriv,lemmas,verbgroup,verbframe,hyper_min,hyper_max
0,0,v,roll#v#12,wander#v#03,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5
1,1,v,observe#v#08,observe#v#09,not-merged,0.0,0.0,0.0,2.0,0.0,1.0,,
2,2,v,draw#v#19,draw#v#07,not-merged,0.0,0.0,1.0,1.0,0.0,0.0,,
3,3,v,draw#v#19,draw#v#10,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
4,4,v,draw#v#19,draw#v#05,not-merged,0.0,0.0,1.0,1.0,0.0,0.0,,
5,5,v,draw#v#19,draw#v#14,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,,
6,6,v,draw#v#19,draw#v#16,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
7,7,v,draw#v#19,draw#v#06,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,,
8,8,v,draw#v#19,draw#v#20,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
9,9,v,draw#v#19,draw#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
10,10,v,draw#v#19,draw#v#18,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
11,11,v,draw#v#19,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
12,12,v,draw#v#19,draw#v#31,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
13,13,v,draw#v#19,draw#v#12,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
14,14,v,draw#v#07,draw#v#10,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
15,15,v,draw#v#07,draw#v#05,not-merged,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
16,16,v,draw#v#07,draw#v#14,not-merged,0.0,0.0,1.0,1.0,0.0,0.0,,
17,17,v,draw#v#07,draw#v#16,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
18,18,v,draw#v#07,draw#v#06,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,,
19,19,v,draw#v#07,draw#v#20,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
20,20,v,draw#v#07,draw#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
21,21,v,draw#v#07,draw#v#18,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
22,22,v,draw#v#07,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
23,23,v,draw#v#07,draw#v#31,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
24,24,v,draw#v#07,draw#v#12,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
25,25,v,draw#v#10,draw#v#05,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
26,26,v,draw#v#10,draw#v#06,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5
27,27,v,draw#v#10,draw#v#20,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
28,28,v,draw#v#10,draw#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
29,29,v,draw#v#10,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
30,30,v,draw#v#10,draw#v#12,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
31,31,v,draw#v#05,draw#v#14,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
32,32,v,draw#v#05,draw#v#16,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
33,33,v,draw#v#05,draw#v#06,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,,
34,34,v,draw#v#05,draw#v#20,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
35,35,v,draw#v#05,draw#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
36,36,v,draw#v#05,draw#v#18,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
37,37,v,draw#v#05,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
38,38,v,draw#v#05,draw#v#31,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
39,39,v,draw#v#05,draw#v#12,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
40,40,v,draw#v#14,draw#v#16,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
41,41,v,draw#v#14,draw#v#06,not-merged,0.0,0.0,1.0,1.0,0.0,1.0,,
42,42,v,draw#v#14,draw#v#20,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
43,43,v,draw#v#14,draw#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
44,44,v,draw#v#14,draw#v#09,not-merged,0.0,0.0,1.0,1.0,0.0,0.0,,
45,45,v,draw#v#14,draw#v#31,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
46,46,v,draw#v#14,draw#v#12,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
47,47,v,draw#v#16,draw#v#06,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
48,48,v,draw#v#16,draw#v#20,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
49,49,v,draw#v#16,draw#v#04,not-merged,0.0,0.0,0.0,1.0,0.0,0.0,,
50,50,v,draw#v#16,draw#v#09,not-merged,0.0,0.0,0.0,1.0,0.0,1.0,,
