sense1,sense2,lch,hso,jcn,leskvalue,linvalue,resvalue,vecvalue,wupvalue,merge
dress#v#09,snip#v#02,1.029619417,0,0,12,0,0,0.1859506136,0.1818181818,merged
dress#v#09,dress#v#03,1.134979933,0,0,13,0,0,0.5886643719,0.2,merged
dress#v#09,dress#v#07,1.722766598,3,0,4,0,4.534105209,0.2986501283,0.6,merged
snip#v#02,dress#v#03,1.029619417,0,0.04621800236,10,0,0,0.2193767315,0.1818181818,merged
snip#v#02,dress#v#07,1.029619417,0,0,5,0,0,0.4390475855,0.1818181818,merged
dress#v#03,dress#v#07,1.134979933,0,0,3,0,0,0.3045822707,0.2,merged
pull#v#01,pull#v#04,1.540445041,0,0.06549718423,109,0,0,0.7052619467,0.2857142857,merged
pull#v#01,pull#v#09,2.233592222,5,0,253,0,3.053401164,0.7063237224,0.6666666667,merged
pull#v#04,pull#v#09,1.540445041,0,0,22,0,0,0.5191368215,0.2857142857,merged
attract#v#01,pull#v#09,1.945910149,4,0,30,0,3.053401164,0.5731149847,0.5714285714,merged
pull#v#03,pull#v#07,1.386294361,0,0.04621800236,30,0,0,0.6737596787,0.25,merged
draw#v#05,extract#v#01,2.233592222,5,0.1579182301,232,0.6549702889,6.010392609,0.7565045105,0.6666666667,merged
draw#v#05,perpetrate#v#01,1.722766598,0,0.05646105772,28,0,0,0.5644029339,0.3333333333,merged
draw#v#05,pull#v#08,1.252762968,0,0.04841264277,13,0,0,0.2987338069,0.2222222222,merged
draw#v#05,pluck#v#05,1.945910149,4,0.1158080779,12,0.5819579806,6.010392609,0.2298063734,0.5714285714,merged
draw#v#05,side#v#01,0.9343092374,0,0.04841264277,6,0,0,0.5576504427,0.1666666667,merged
extract#v#01,perpetrate#v#01,1.722766598,0,0.0550014886,22,0,0,0.5921999478,0.3333333333,merged
extract#v#01,pull#v#08,1.252762968,0,0.04733556378,8,0,0,0.3433971977,0.2222222222,merged
extract#v#01,pluck#v#05,1.945910149,4,0.1098300069,10,0.5690106453,6.010392609,0.2980548525,0.5714285714,merged
extract#v#01,side#v#01,0.9343092374,0,0.04733556378,5,0,0,0.6624585561,0.1666666667,merged
perpetrate#v#01,pull#v#08,1.252762968,0,0.04881880178,6,0,0,0.3532868283,0.2222222222,merged
perpetrate#v#01,pluck#v#05,1.540445041,0,0.04881880178,8,0,0,0.1662654291,0.2857142857,merged
perpetrate#v#01,side#v#01,1.134979933,0,0.06468737371,4,0.2453117358,2.512471905,0.6087821562,0.3333333333,merged
pull#v#08,pluck#v#05,1.134979933,0,0.04268332993,3,0,0,0.107919899,0.2,merged
pull#v#08,side#v#01,0.6931471806,0,0.04268332993,2,0,0,0.4145527344,0.1333333333,merged
pluck#v#05,side#v#01,0.8472978604,0,0.04268332993,4,0,0,0.2136380144,0.1538461538,merged
see#v#01,watch#v#03,1.722766598,0,0.07774672731,25,0,0,0.8048273399,0.3333333333,merged
see#v#01,examine#v#02,1.945910149,0,0.08200735564,26,0,0,0.7195955212,0.4,merged
watch#v#03,examine#v#02,1.945910149,0,0.06878358319,22,0,0,0.7341295289,0.4,merged
understand#v#02,visualize#v#01,1.540445041,0,0.07368590763,16,0,0,0.7626548104,0.2857142857,merged
witness#v#02,learn#v#02,1.540445041,0,0.07901221057,20,0,0,0.8247739508,0.2857142857,merged
see#v#05,interpret#v#01,1.386294361,0,0.084935697,45,0,0,0.9072750947,0.25,merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
determine#v#08,attend#v#02,1.540445041,0,0.059494498,14,0,0,0.6238985621,0.2857142857,not-merged
meet#v#01,go_steady#v#01,1.540445041,0,0.05675302007,4,0,0,0.392712034,0.2857142857,merged
meet#v#01,visit#v#01,1.540445041,0,0.06653386281,9,0,0,0.3075748062,0.2857142857,merged
meet#v#01,experience#v#01,1.722766598,0,0.07734634112,2,0,0,0.455679689,0.3333333333,merged
go_steady#v#01,visit#v#01,1.134979933,0,0.05364559814,4,0,0,0.5361963629,0.2,merged
go_steady#v#01,experience#v#01,1.540445041,2,0.08684450066,4,0.3038096339,2.512471905,0.775574322,0.4444444444,merged
visit#v#01,experience#v#01,1.252762968,0,0.07168710307,10,0,0,0.4857943111,0.2222222222,merged
air#n#03,air#n#01,1.440361582,0,0.0882074498,24,0.1382090174,0.9090738644,0.3850740929,0.4285714286,merged
air#n#03,breeze#n#01,1.072636802,0,0.07076637088,15,0.1139965028,0.9090738644,0.3527398977,0.3333333333,merged
air#n#03,air#n#09,1.558144618,0,0.05791561677,8,0.09526755482,0.9090738644,0.4172630595,0.4615384615,merged
air#n#01,breeze#n#01,1.072636802,6,0.07836657144,378,0.1247126899,0.9090738644,0.850595784,0.3333333333,merged
air#n#01,air#n#09,1.84582669,2,0.09121155606,35,0.3810879162,3.375330903,0.7167827187,0.6153846154,merged
breeze#n#01,air#n#09,1.15267951,0,0.05350416977,10,0.08865432622,0.9090738644,0.6288074677,0.3529411765,merged
air_travel#n#01,air#n#09,0.9295359586,0,0.0533449007,12,0,0,0.679291533,0.2222222222,not-merged
air_travel#n#01,air#n#09,0.9295359586,0,0.0533449007,12,0,0,0.679291533,0.2222222222,not-merged
air_travel#n#01,air#n#09,0.9295359586,0,0.0533449007,12,0,0,0.679291533,0.2222222222,not-merged
air_travel#n#01,air#n#09,0.9295359586,0,0.0533449007,12,0,0,0.679291533,0.2222222222,not-merged
