,Pos,Sense1,Sense2,Merge
0,v,roll#v#12,wander#v#03,not-merged
1,v,observe#v#08,observe#v#09,not-merged
2,v,draw#v#19,draw#v#07,not-merged
3,v,draw#v#19,draw#v#10,not-merged
4,v,draw#v#19,draw#v#05,not-merged
5,v,draw#v#19,draw#v#14,not-merged
6,v,draw#v#19,draw#v#16,not-merged
7,v,draw#v#19,draw#v#06,not-merged
8,v,draw#v#19,draw#v#20,not-merged
9,v,draw#v#19,draw#v#04,not-merged
10,v,draw#v#19,draw#v#18,not-merged
11,v,draw#v#19,draw#v#09,not-merged
12,v,draw#v#19,draw#v#31,not-merged
13,v,draw#v#19,draw#v#12,not-merged
14,v,draw#v#07,draw#v#10,not-merged
15,v,draw#v#07,draw#v#05,not-merged
16,v,draw#v#07,draw#v#14,not-merged
17,v,draw#v#07,draw#v#16,not-merged
18,v,draw#v#07,draw#v#06,not-merged
19,v,draw#v#07,draw#v#20,not-merged
20,v,draw#v#07,draw#v#04,not-merged
21,v,draw#v#07,draw#v#18,not-merged
22,v,draw#v#07,draw#v#09,not-merged
23,v,draw#v#07,draw#v#31,not-merged
24,v,draw#v#07,draw#v#12,not-merged
25,v,draw#v#10,draw#v#05,not-merged
26,v,draw#v#10,draw#v#06,not-merged
27,v,draw#v#10,draw#v#20,not-merged
28,v,draw#v#10,draw#v#04,not-merged
29,v,draw#v#10,draw#v#09,not-merged
30,v,draw#v#10,draw#v#12,not-merged
31,v,draw#v#05,draw#v#14,not-merged
32,v,draw#v#05,draw#v#16,not-merged
33,v,draw#v#05,draw#v#06,not-merged
34,v,draw#v#05,draw#v#20,not-merged
35,v,draw#v#05,draw#v#04,not-merged
36,v,draw#v#05,draw#v#18,not-merged
37,v,draw#v#05,draw#v#09,not-merged
38,v,draw#v#05,draw#v#31,not-merged
39,v,draw#v#05,draw#v#12,not-merged
40,v,draw#v#14,draw#v#16,not-merged
41,v,draw#v#14,draw#v#06,not-merged
42,v,draw#v#14,draw#v#20,not-merged
43,v,draw#v#14,draw#v#04,not-merged
44,v,draw#v#14,draw#v#09,not-merged
45,v,draw#v#14,draw#v#31,not-merged
46,v,draw#v#14,draw#v#12,not-merged
47,v,draw#v#16,draw#v#06,not-merged
48,v,draw#v#16,draw#v#20,not-merged
49,v,draw#v#16,draw#v#04,not-merged
50,v,draw#v#16,draw#v#09,not-merged
51,v,draw#v#16,draw#v#12,not-merged
52,v,draw#v#06,draw#v#20,not-merged
53,v,draw#v#06,draw#v#04,not-merged
54,v,draw#v#06,draw#v#18,not-merged
55,v,draw#v#06,draw#v#09,not-merged
56,v,draw#v#06,draw#v#31,not-merged
57,v,draw#v#06,draw#v#12,not-merged
58,v,draw#v#20,draw#v#04,not-merged
59,v,draw#v#20,draw#v#09,not-merged
