SenseKeys,Group,Pos,Synset,WordPos
attack%5:00:00:offensive:03,0,s,assault#s#01,assault-s
bum%5:00:00:inferior:02,1,s,bum#s#01,bum-s
county%3:01:00::,2,a,county#a#01,county-a
material%5:00:00:physical:00,3,s,material#s#04,material-s
material%5:00:00:worldly:00,3,s,material#s#01,material-s
material%3:00:03::,3,a,substantial#a#03,substantial-a
material%3:00:04::,4,a,corporeal#a#01,corporeal-a
material%3:00:01::,4,a,material#a#02,material-a
material%3:00:02::,5,a,material#a#03,material-a
present%3:00:01::,7,a,present#a#01,present-a
present%3:00:02::,8,a,present#a#02,present-a
present%3:01:00::,9,a,present#a#03,present-a
stone%3:01:00::,10,a,stone#a#01,stone-a
stone%5:00:00:chromatic:00,11,s,stone#s#02,stone-s
air%1:15:00::,12,n,air#n#03,air-n
air%1:27:00::,12,n,air#n#01,air-n
air%1:19:00::,12,n,breeze#n#01,breeze-n
air%1:27:01::,12,n,air#n#08,air-n
air%1:04:00::,13,n,air_travel#n#01,air_travel-n
air%1:10:02::,14,n,air#n#05,air-n
air%1:07:00::,15,n,air#n#04,air-n
air%1:10:01::,16,n,tune#n#01,tune-n
appeal%1:04:00::,17,n,appeal#n#03,appeal-n
appeal%1:10:00::,17,n,entreaty#n#01,entreaty-n
appeal%1:10:02::,17,n,solicitation#n#02,solicitation-n
appeal%1:07:00::,18,n,appeal#n#02,appeal-n
art%1:10:00::,19,n,artwork#n#01,artwork-n
art%1:06:00::,19,n,art#n#01,art-n
art%1:09:00::,20,n,art#n#03,art-n
art%1:04:00::,20,n,art#n#02,art-n
attack%1:10:00::,21,n,fire#n#05,fire-n
attack%1:04:00::,21,n,attack#n#01,attack-n
attack%1:04:02::,21,n,attack#n#04,attack-n
attack%1:04:04::,21,n,attack#n#05,attack-n
attack%1:22:00::,22,n,attack#n#06,attack-n
attack%1:26:00::,22,n,attack#n#02,attack-n
attack%1:04:03::,23,n,approach#n#01,approach-n
attack%1:04:01::,24,n,attack#n#08,attack-n
authority%1:07:02::,25,n,authority#n#06,authority-n
authority%1:07:00::,25,n,authority#n#01,authority-n
authority%1:14:00::,26,n,agency#n#01,agency-n
authority%1:18:01::,26,n,authority#n#02,authority-n
authority%1:10:00::,27,n,authority#n#07,authority-n
authority%1:18:00::,27,n,authority#n#03,authority-n
authority%1:09:00::,28,n,assurance#n#01,assurance-n
bar%1:06:05::,29,n,bar#n#02,bar-n
bar%1:06:04::,29,n,barroom#n#01,barroom-n
bar%1:06:07::,29,n,bar#n#13,bar-n
bar%1:06:02::,30,n,bar#n#05,bar-n
bar%1:06:00::,30,n,bar#n#03,bar-n
bar%1:06:06::,30,n,cake#n#01,cake-n
bar%1:14:00::,31,n,legal_profession#n#01,legal_profession-n
bar%1:10:00::,32,n,measure#n#07,measure-n
bar%1:04:00::,33,n,prevention#n#01,prevention-n
bar%1:23:00::,34,n,bar#n#07,bar-n
bar%1:17:00::,35,n,bar#n#08,bar-n
bar%1:06:01::,37,n,browning_automatic_rifle#n#01,browning_automatic_rifle-n
bar%1:06:08::,38,n,bar#n#12,bar-n
basin%1:06:01::,39,n,washbasin#n#01,washbasin-n
basin%1:06:00::,39,n,basin#n#01,basin-n
basin%1:15:00::,40,n,river_basin#n#01,river_basin-n
basin%1:17:00::,40,n,basin#n#03,basin-n
basin%1:23:00::,41,n,basin#n#02,basin-n
bum%1:18:01::,42,n,tramp#n#01,tramp-n
bum%1:18:02::,42,n,rotter#n#01,rotter-n
bum%1:18:03::,42,n,idler#n#01,idler-n
bum%1:08:00::,43,n,buttocks#n#01,buttocks-n
call%2:32:00::,44,v,call#v#03,call-v
call%2:32:02::,44,v,name#v#01,name-v
call%2:31:05::,44,v,call#v#19,call-v
call%2:41:14::,44,v,address#v#06,address-v
call%2:32:04::,45,v,call#v#13,call-v
call%2:32:01::,45,v,call#v#02,call-v
call%2:29:05::,45,v,call#v#28,call-v
call%2:41:04::,46,v,call#v#07,call-v
call%2:32:05::,46,v,call#v#04,call-v
call%2:32:15::,46,v,call#v#08,call-v
call%2:32:14::,46,v,call#v#09,call-v
call%2:32:13::,47,v,call#v#12,call-v
call%2:32:09::,47,v,shout#v#02,shout-v
call%2:31:13::,47,v,call#v#16,call-v
call%2:41:12::,48,v,call#v#23,call-v
call%2:41:00::,48,v,visit#v#03,visit-v
call%2:32:08::,49,v,call#v#14,call-v
call%2:32:06::,49,v,call#v#10,call-v
call%2:38:00::,49,v,call#v#21,call-v
call%2:40:05::,49,v,bid#v#04,bid-v
call%2:32:11::,50,v,call#v#26,call-v
call%2:32:03::,50,v,call#v#15,call-v
call%2:31:00::,51,v,call#v#27,call-v
call%2:32:07::,51,v,call#v#18,call-v
call%2:32:12::,52,v,call#v#25,call-v
call%2:40:09::,52,v,call#v#20,call-v
call%2:42:09::,53,v,call#v#11,call-v
call%2:32:10::,54,v,predict#v#01,predict-v
call_in%2:32:02::,55,v,call_in#v#02,call_in-v
call_in%2:35:00::,55,v,call_in#v#01,call_in-v
call_in%2:40:00::,56,v,recall#v#07,recall-v
call_in%2:41:02::,56,v,call_in#v#04,call_in-v
call_in%2:32:00::,58,v,call_in#v#05,call_in-v
carry%2:35:08::,60,v,dribble#v#03,dribble-v
carry%2:35:02::,60,v,transport#v#02,transport-v
carry%2:32:07::,60,v,carry#v#17,carry-v
carry%2:35:12::,60,v,carry#v#31,carry-v
carry%2:42:03::,61,v,hold#v#08,hold-v
carry%2:42:01::,61,v,carry#v#02,carry-v
carry%2:42:12::,61,v,carry#v#21,carry-v
carry%2:29:00::,61,v,bear#v#13,bear-v
carry%2:32:02::,62,v,carry#v#04,carry-v
carry%2:38:03::,62,v,conduct#v#04,conduct-v
carry%2:42:14::,63,v,carry#v#20,carry-v
carry%2:35:09::,63,v,carry#v#05,carry-v
carry%2:41:06::,63,v,carry#v#23,carry-v
