Pos,sense1_key17,sense1_wn17,sense2_wn17,sense2_key17,sense1_wn21,sense2_wn21,offset1_wn21,offset2_wn21,sense1_wn17_def,sense1_wn21_def,sense2_wn17_def,sense2_wn21_def,Merge,selse2
v,wander%2:38:00::,wander.v.01,wander.v.03,wander%2:38:02::,roll#v#12,wander#v#03,01863577-v,02083938-v,,"move about aimlessly or without any destination, often in search of food or employment",,go via an indirect route or at no set pace,merged,roll#v#12-wander#v#03
v,observe%2:41:02::,observe.v.06,observe.v.09,observe%2:41:04::,observe#v#06,observe#v#09,02553734-v,02554084-v,,"celebrate, as of holidays or rites",,conform one's action or practice to,merged,observe#v#06-observe#v#09
v,observe%2:41:02::,observe.v.06,observe.v.08,observe%2:31:00::,observe#v#06,observe#v#08,02553734-v,00724225-v,,"celebrate, as of holidays or rites",,observe correctly or closely,not-merged,observe#v#06-observe#v#08
v,observe%2:41:04::,observe.v.09,observe.v.08,observe%2:31:00::,observe#v#09,observe#v#08,02554084-v,00724225-v,,conform one's action or practice to,,observe correctly or closely,not-merged,observe#v#09-observe#v#08
v,wash_up%2:35:02::,wash_up.v.03,wash_up.v.01,wash_up%2:29:00::,wash_up#v#03,wash_up#v#01,01520295-v,00024967-v,,wash dishes,,wash one's face and hands,merged,wash_up#v#03-wash_up#v#01
v,wash_up%2:35:02::,wash_up.v.03,wash_up.v.04,wash_up%2:30:00::,wash_up#v#03,wash_up#v#04,01520295-v,00418957-v,,wash dishes,,be carried somewhere by water or as if by water,not-merged,wash_up#v#03-wash_up#v#04
v,wash_up%2:35:02::,wash_up.v.03,wash_up.v.02,wash_up%2:38:00::,wash_up#v#03,wash_up#v#02,01520295-v,02061919-v,,wash dishes,,carry somewhere (of water or current or waves),not-merged,wash_up#v#03-wash_up#v#02
v,wash_up%2:29:00::,wash_up.v.01,wash_up.v.04,wash_up%2:30:00::,wash_up#v#01,wash_up#v#04,00024967-v,00418957-v,,wash one's face and hands,,be carried somewhere by water or as if by water,not-merged,wash_up#v#01-wash_up#v#04
v,wash_up%2:29:00::,wash_up.v.01,wash_up.v.02,wash_up%2:38:00::,wash_up#v#01,wash_up#v#02,00024967-v,02061919-v,,wash one's face and hands,,carry somewhere (of water or current or waves),not-merged,wash_up#v#01-wash_up#v#02
v,wash_up%2:30:00::,wash_up.v.04,wash_up.v.02,wash_up%2:38:00::,wash_up#v#04,wash_up#v#02,00418957-v,02061919-v,,be carried somewhere by water or as if by water,,carry somewhere (of water or current or waves),merged,wash_up#v#04-wash_up#v#02
v,draw%2:35:02::,draw.v.21,draw.v.05,draw%2:31:00::,draw#v#20,draw#v#04,01231577-v,00722431-v,,move or pull so as to cover or uncover something,,"make, formulate, or derive in the mind",not-merged,draw#v#20-draw#v#04
v,draw%2:35:02::,draw.v.21,draw.v.07,draw%2:36:00::,draw#v#20,draw#v#06,01231577-v,01675192-v,,move or pull so as to cover or uncover something,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",not-merged,draw#v#20-draw#v#06
