SenseKeys,Group,Pos,Synset,WordPos
art%1:06:00::,1,n,art#n#01,art-n
art_gallery%1:06:00::,2,n,gallery#n#03,gallery-n
art%1:04:00::,1,n,art#n#02,art-n
arts%1:09:00::,1,n,humanistic_discipline#n#01,humanistic_discipline-n
art_form%1:09:00::,5,n,art_form#n#01,art_form-n
art%1:09:00::,1,n,art#n#03,art-n
abstract_art%1:06:00::,7,n,abstractionism#n#01,abstractionism-n
art_student%1:18:00::,10,n,art_student#n#01,art_student-n
work_of_art%1:06:00::,11,n,work_of_art#n#01,work_of_art-n
state_of_the_art%1:26:00::,14,n,state_of_the_art#n#01,state_of_the_art-n
art_school%1:06:00::,18,n,art_school#n#01,art_school-n
art_class%1:04:00::,23,n,art_class#n#01,art_class-n
art_historian%1:18:00::,24,n,art_historian#n#01,art_historian-n
folk_art%1:06:00::,25,n,folk_art#n#01,folk_art-n
martial_art%1:04:00::,26,n,martial_art#n#01,martial_art-n
art_collection%1:14:00::,29,n,art_collection#n#01,art_collection-n
art_dealer%1:18:00::,33,n,art_dealer#n#01,art_dealer-n
authority%1:14:00::,39,n,agency#n#01,agency-n
authority%1:07:00::,40,n,authority#n#01,authority-n
authority%1:18:00::,37,n,authority#n#03,authority-n
authority%1:18:01::,39,n,authority#n#02,authority-n
authority%1:07:02::,40,n,authority#n#06,authority-n
supreme_authority%1:18:00::,42,n,arbiter#n#01,arbiter-n
authority%1:09:00::,36,n,assurance#n#01,assurance-n
authority%1:10:00::,36,n,authority#n#07,authority-n
good_authority%1:10:00::,49,n,good_authority#n#01,good_authority-n
bar%1:06:00::,52,n,bar#n#03,bar-n
bar%1:06:05::,53,n,bar#n#02,bar-n
bar%1:06:04::,53,n,barroom#n#01,barroom-n
bar%1:10:00::,56,n,measure#n#07,measure-n
chocolate_bar%1:13:00::,57,n,chocolate_bar#n#01,chocolate_bar-n
bar%1:06:06::,59,n,cake#n#01,cake-n
bar%1:17:00::,60,n,bar#n#08,bar-n
bar_chart%1:10:00::,62,n,bar_chart#n#01,bar_chart-n
wine_bar%1:06:00::,63,n,wine_bar#n#01,wine_bar-n
bar%1:14:00::,66,n,legal_profession#n#01,legal_profession-n
snack_bar%1:06:00::,67,n,snack_bar#n#01,snack_bar-n
coffee_bar%1:06:00::,70,n,cafe#n#01,cafe-n
bar_code%1:10:00::,71,n,bar_code#n#01,bar_code-n
bar%1:04:00::,73,n,prevention#n#01,prevention-n
bar%1:23:00::,76,n,bar#n#07,bar-n
bar%1:06:02::,77,n,bar#n#05,bar-n
metal_bar%1:06:00::,81,n,ingot#n#01,ingot-n
bar_soap%1:06:00::,82,n,bar_soap#n#01,bar_soap-n
sand_bar%1:17:00::,84,n,sandbar#n#01,sandbar-n
blind%3:00:00::,90,a,blind#a#01,blind-a
blind%5:00:00:unperceptive:00,90,s,blind#s#02,blind-s
blind%5:00:00:irrational:00,90,s,blind#s#03,blind-s
blind_alley%1:06:00::,94,n,blind_alley#n#01,blind_alley-n
blind_date%1:14:00::,97,n,blind_date#n#02,blind_date-n
blind_man%1:18:00::,99,n,blind_person#n#01,blind_person-n
blind_spot%1:08:00::,102,n,blind_spot#n#01,blind_spot-n
