Pos,Sense1,Sense2,Merge
v,wander#v#01,wander#v#03,not-merged
v,observe#v#08,observe#v#09,not-merged
v,draw#v#20,draw#v#08,not-merged
v,draw#v#20,draw#v#11,not-merged
v,draw#v#20,draw#v#06,not-merged
v,draw#v#20,draw#v#15,not-merged
v,draw#v#20,draw#v#17,not-merged
v,draw#v#20,draw#v#07,not-merged
v,draw#v#20,draw#v#21,not-merged
v,draw#v#20,draw#v#05,not-merged
v,draw#v#20,draw#v#19,not-merged
v,draw#v#20,draw#v#10,not-merged
v,draw#v#20,draw#v#30,not-merged
v,draw#v#20,draw#v#13,not-merged
v,draw#v#08,draw#v#11,not-merged
v,draw#v#08,draw#v#06,not-merged
v,draw#v#08,draw#v#15,not-merged
v,draw#v#08,draw#v#17,not-merged
v,draw#v#08,draw#v#07,not-merged
v,draw#v#08,draw#v#21,not-merged
v,draw#v#08,draw#v#05,not-merged
v,draw#v#08,draw#v#19,not-merged
v,draw#v#08,draw#v#10,not-merged
v,draw#v#08,draw#v#30,not-merged
v,draw#v#08,draw#v#13,not-merged
v,draw#v#11,draw#v#06,not-merged
v,draw#v#11,draw#v#15,not-merged
v,draw#v#11,draw#v#17,not-merged
v,draw#v#11,draw#v#07,not-merged
v,draw#v#11,draw#v#21,not-merged
v,draw#v#11,draw#v#05,not-merged
v,draw#v#11,draw#v#19,not-merged
v,draw#v#11,draw#v#10,not-merged
v,draw#v#11,draw#v#30,not-merged
v,draw#v#11,draw#v#13,not-merged
v,draw#v#06,draw#v#15,not-merged
v,draw#v#06,draw#v#17,not-merged
v,draw#v#06,draw#v#07,not-merged
v,draw#v#06,draw#v#21,not-merged
v,draw#v#06,draw#v#05,not-merged
v,draw#v#06,draw#v#19,not-merged
v,draw#v#06,draw#v#10,not-merged
v,draw#v#06,draw#v#30,not-merged
v,draw#v#06,draw#v#13,not-merged
v,draw#v#15,draw#v#17,not-merged
v,draw#v#15,draw#v#07,not-merged
v,draw#v#15,draw#v#21,not-merged
v,draw#v#15,draw#v#05,not-merged
v,draw#v#15,draw#v#19,not-merged
v,draw#v#15,draw#v#10,not-merged
v,draw#v#15,draw#v#30,not-merged
v,draw#v#15,draw#v#13,not-merged
v,draw#v#17,draw#v#07,not-merged
v,draw#v#17,draw#v#21,not-merged
v,draw#v#17,draw#v#05,not-merged
v,draw#v#17,draw#v#19,not-merged
v,draw#v#17,draw#v#10,not-merged
v,draw#v#17,draw#v#30,not-merged
v,draw#v#17,draw#v#13,not-merged
v,draw#v#07,draw#v#21,not-merged
v,draw#v#07,draw#v#05,not-merged
v,draw#v#07,draw#v#19,not-merged
v,draw#v#07,draw#v#10,not-merged
v,draw#v#07,draw#v#30,not-merged
v,draw#v#07,draw#v#13,not-merged
v,draw#v#21,draw#v#05,not-merged
v,draw#v#21,draw#v#19,not-merged
