pos,sense1_wn21,sense2_wn21,sense1_wn16,sense2_wn16,sense1_wn21_def,sense1_wn16_def,sense2_wn21_def,sense2_wn16_def
n,chain.n.1,chain.n.2,chain.n.1,chain.n.2,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule)
n,chain.n.1,chain.n.4,chain.n.1,chain.n.4,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership
n,chain.n.1,chain.n.9,chain.n.1,chain.n.9,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or
n,chain.n.1,chain.n.8,chain.n.1,range.n.5,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a series of hills or mountains,a series of hills or mountains
n,chain.n.1,chain.n.6,chain.n.1,chain.n.6,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a unit of length,a unit of length
n,chain.n.2,chain.n.4,chain.n.2,chain.n.4,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership
n,chain.n.2,chain.n.9,chain.n.2,chain.n.9,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or
n,chain.n.2,chain.n.8,chain.n.2,range.n.5,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a series of hills or mountains,a series of hills or mountains
n,chain.n.2,chain.n.6,chain.n.2,chain.n.6,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a unit of length,a unit of length
n,chain.n.4,chain.n.9,chain.n.4,chain.n.9,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or
n,chain.n.4,chain.n.8,chain.n.4,range.n.5,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a series of hills or mountains,a series of hills or mountains
n,chain.n.4,chain.n.6,chain.n.4,chain.n.6,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a unit of length,a unit of length
n,chain.n.9,chain.n.8,chain.n.9,range.n.5,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,a series of hills or mountains,a series of hills or mountains
n,chain.n.9,chain.n.6,chain.n.9,chain.n.6,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,a unit of length,a unit of length
n,chain.n.8,chain.n.6,range.n.5,chain.n.6,a series of hills or mountains,a series of hills or mountains,a unit of length,a unit of length
n,guideline.n.1,guideline.n.2,guideline.n.2,,a light line that is used in lettering to help align the letters,a light line that is used in lettering to help align the letters,a detailed plan or explanation to guide you in setting standards or determining a course of action,a unit of length
n,guideline.n.1,guideline.n.3,guideline.n.2,guidepost.n.1,a light line that is used in lettering to help align the letters,a light line that is used in lettering to help align the letters,a rule or principle that provides guidance to appropriate behavior,a rule or principle that provides guidance to appropriate behavior
n,guideline.n.2,guideline.n.3,,guidepost.n.1,a detailed plan or explanation to guide you in setting standards or determining a course of action,a light line that is used in lettering to help align the letters,a rule or principle that provides guidance to appropriate behavior,a rule or principle that provides guidance to appropriate behavior
n,treat.n.1,treat.n.2,dainty.n.1,,something considered choice to eat,something considered choice to eat,an occurrence that causes special pleasure or delight,a rule or principle that provides guidance to appropriate behavior
n,arch.n.4,arch.n.1,arch.n.4,arch.n.1,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,a curved shape in the vertical plane that spans an opening,a curved shape in the vertical plane that spans an opening
n,arch.n.4,arch.n.2,arch.n.4,arch.n.2,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),a curved bony structure supporting or enclosing organs (especially arches of the feet)
n,arch.n.4,arch.n.3,arch.n.4,arch.n.3,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it,a passageway under a curved masonry construction,a passageway under an arch
n,arch.n.1,arch.n.2,arch.n.1,arch.n.2,a curved shape in the vertical plane that spans an opening,a curved shape in the vertical plane that spans an opening,a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),a curved bony structure supporting or enclosing organs (especially arches of the feet)
n,arch.n.1,arch.n.3,arch.n.1,arch.n.3,a curved shape in the vertical plane that spans an opening,a curved shape in the vertical plane that spans an opening,a passageway under a curved masonry construction,a passageway under an arch
n,arch.n.2,arch.n.3,arch.n.2,arch.n.3,a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),a curved bony structure supporting or enclosing organs (especially arches of the feet),a passageway under a curved masonry construction,a passageway under an arch
n,turf.n.1,turf.n.2,turf.n.1,turf.n.2,surface layer of ground containing a mat of grass and grass roots,surface layer of ground containing a matt of grass and grass roots,the territory claimed by a juvenile gang as its own,the territory claimed by a juvenile gang as its own
n,turf.n.1,turf.n.3,turf.n.1,turf.n.3,surface layer of ground containing a mat of grass and grass roots,surface layer of ground containing a matt of grass and grass roots,range of jurisdiction or influence,(informal) range of jurisdiction or influence:
n,turf.n.2,turf.n.3,turf.n.2,turf.n.3,the territory claimed by a juvenile gang as its own,the territory claimed by a juvenile gang as its own,range of jurisdiction or influence,(informal) range of jurisdiction or influence:
n,volatility.n.2,volatility.n.1,volatility.n.1,,the trait of being unpredictably irresolute,the trait of being unpredictably irresolute,the property of changing readily from a solid or liquid to a vapor,(informal) range of jurisdiction or influence:
n,volatility.n.2,volatility.n.3,volatility.n.1,excitability.n.2,the trait of being unpredictably irresolute,the trait of being unpredictably irresolute,being easily excited,being easily excited
n,volatility.n.1,volatility.n.3,,excitability.n.2,the property of changing readily from a solid or liquid to a vapor,the trait of being unpredictably irresolute,being easily excited,being easily excited
n,disaster.n.1,disaster.n.2,catastrophe.n.2,calamity.n.1,a state of extreme (usually irremediable) ruin and misfortune,a state of extreme (usually irremediable) ruin and misfortune,an event resulting in great loss and misfortune,an event resulting in great loss and misfortune
n,disaster.n.1,disaster.n.3,catastrophe.n.2,disaster.n.3,a state of extreme (usually irremediable) ruin and misfortune,a state of extreme (usually irremediable) ruin and misfortune,an act that has disastrous consequences,an act that has disastrous consequences
n,disaster.n.2,disaster.n.3,calamity.n.1,disaster.n.3,an event resulting in great loss and misfortune,an event resulting in great loss and misfortune,an act that has disastrous consequences,an act that has disastrous consequences
n,border.n.1,border.n.2,,margin.n.1,a line that indicates a boundary,a line that indicates a boundary,the boundary line or the area immediately inside the boundary,the boundary line or the area immediately inside the boundary
n,border.n.1,border.n.3,,edge.n.1,a line that indicates a boundary,a line that indicates a boundary,the boundary of a surface,the boundary of a surface
n,border.n.1,border.n.4,,molding.n.3,a line that indicates a boundary,a line that indicates a boundary,a decorative recessed or relieved surface on an edge,a decorative recessed or relieved surface
n,border.n.1,border.n.5,,border.n.5,a line that indicates a boundary,a line that indicates a boundary,a strip forming the outer edge of something,a strip forming the outer edge of something:
n,border.n.2,border.n.3,margin.n.1,edge.n.1,the boundary line or the area immediately inside the boundary,the boundary line or the area immediately inside the boundary,the boundary of a surface,the boundary of a surface
n,border.n.2,border.n.4,margin.n.1,molding.n.3,the boundary line or the area immediately inside the boundary,the boundary line or the area immediately inside the boundary,a decorative recessed or relieved surface on an edge,a decorative recessed or relieved surface
n,border.n.2,border.n.5,margin.n.1,border.n.5,the boundary line or the area immediately inside the boundary,the boundary line or the area immediately inside the boundary,a strip forming the outer edge of something,a strip forming the outer edge of something:
n,border.n.3,border.n.4,edge.n.1,molding.n.3,the boundary of a surface,the boundary of a surface,a decorative recessed or relieved surface on an edge,a decorative recessed or relieved surface
n,border.n.3,border.n.5,edge.n.1,border.n.5,the boundary of a surface,the boundary of a surface,a strip forming the outer edge of something,a strip forming the outer edge of something:
n,border.n.4,border.n.5,molding.n.3,border.n.5,a decorative recessed or relieved surface on an edge,a decorative recessed or relieved surface,a strip forming the outer edge of something,a strip forming the outer edge of something:
n,car.n.1,car.n.2,car.n.1,car.n.2,a motor vehicle with four wheels; usually propelled by an internal combustion engine,4-wheeled motor vehicle; usually propelled by an internal combustion engine,a wheeled vehicle adapted to the rails of railroad,a wheeled vehicle adapted to the rails of railroad
n,car.n.1,car.n.3,car.n.1,cable_car.n.1,a motor vehicle with four wheels; usually propelled by an internal combustion engine,4-wheeled motor vehicle; usually propelled by an internal combustion engine,a conveyance for passengers or freight on a cable railway,a conveyance for passengers or freight on a cable railway
n,car.n.1,car.n.4,car.n.1,car.n.3,a motor vehicle with four wheels; usually propelled by an internal combustion engine,4-wheeled motor vehicle; usually propelled by an internal combustion engine,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,car suspended from an airship and carrying personnel and cargo and power plant
n,car.n.1,car.n.5,car.n.1,car.n.4,a motor vehicle with four wheels; usually propelled by an internal combustion engine,4-wheeled motor vehicle; usually propelled by an internal combustion engine,where passengers ride up and down,where passengers ride up and down
n,car.n.2,car.n.3,car.n.2,cable_car.n.1,a wheeled vehicle adapted to the rails of railroad,a wheeled vehicle adapted to the rails of railroad,a conveyance for passengers or freight on a cable railway,a conveyance for passengers or freight on a cable railway
n,car.n.2,car.n.4,car.n.2,car.n.3,a wheeled vehicle adapted to the rails of railroad,a wheeled vehicle adapted to the rails of railroad,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,car suspended from an airship and carrying personnel and cargo and power plant
n,car.n.2,car.n.5,car.n.2,car.n.4,a wheeled vehicle adapted to the rails of railroad,a wheeled vehicle adapted to the rails of railroad,where passengers ride up and down,where passengers ride up and down
n,car.n.3,car.n.4,cable_car.n.1,car.n.3,a conveyance for passengers or freight on a cable railway,a conveyance for passengers or freight on a cable railway,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,car suspended from an airship and carrying personnel and cargo and power plant
n,car.n.3,car.n.5,cable_car.n.1,car.n.4,a conveyance for passengers or freight on a cable railway,a conveyance for passengers or freight on a cable railway,where passengers ride up and down,where passengers ride up and down
n,car.n.4,car.n.5,car.n.3,car.n.4,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,car suspended from an airship and carrying personnel and cargo and power plant,where passengers ride up and down,where passengers ride up and down
n,disguise.n.2,disguise.n.1,disguise.n.2,disguise.n.1,any attire that modifies the appearance in order to conceal the wearer's identity,any attire that modifies the appearance in order to conceal the wearer's identity,an outward semblance that misrepresents the true nature of something,an outward semblance that misrepresents the true nature of something
n,disguise.n.2,disguise.n.3,disguise.n.2,disguise.n.3,any attire that modifies the appearance in order to conceal the wearer's identity,any attire that modifies the appearance in order to conceal the wearer's identity,the act of concealing the identity of something by modifying its appearance,the act of concealing the identity of something by modifying its appearance
n,disguise.n.1,disguise.n.3,disguise.n.1,disguise.n.3,an outward semblance that misrepresents the true nature of something,an outward semblance that misrepresents the true nature of something,the act of concealing the identity of something by modifying its appearance,the act of concealing the identity of something by modifying its appearance
n,mine.n.1,mine.n.2,mine.n.1,mine.n.2,excavation in the earth from which ores and minerals are extracted,a excavation in the earth from which ores and minerals are extracted,explosive device that explodes on contact; designed to destroy vehicles or ships or to kill or maim personnel,a device that explodes on contact; designed to destroy vehicles or ships or kill personnel
n,lobby.n.1,lobby.n.2,anteroom.n.1,,a large entrance or reception room or area,a large entrance or reception room or area,the people who support some common cause or business or principle or sectional interest,a device that explodes on contact; designed to destroy vehicles or ships or kill personnel
n,lobby.n.1,lobby.n.3,anteroom.n.1,lobby.n.2,a large entrance or reception room or area,a large entrance or reception room or area,a group of people who try actively to influence legislation,a group of people who try actively to influence legislation
n,lobby.n.2,lobby.n.3,,lobby.n.2,the people who support some common cause or business or principle or sectional interest,a large entrance or reception room or area,a group of people who try actively to influence legislation,a group of people who try actively to influence legislation
n,degradation.n.1,degradation.n.2,degradation.n.1,abasement.n.1,changing to a lower state (a less respected state),changing to a lower state (a less respected state),a low or downcast state; - H.L.Menchken,a low or downcast state: - H.L.Menchken
n,shrinkage.n.3,shrinkage.n.1,,shrinking.n.1,the act of stealing goods that are on display in a store,changing to a lower state (a less respected state),process or result of becoming less or smaller,process or result of becoming less or smaller:
n,shrinkage.n.3,shrinkage.n.2,,shrinkage.n.2,the act of stealing goods that are on display in a store,changing to a lower state (a less respected state),the amount by which something shrinks,the amount by which something shrinks
n,shrinkage.n.1,shrinkage.n.2,shrinking.n.1,shrinkage.n.2,process or result of becoming less or smaller,process or result of becoming less or smaller:,the amount by which something shrinks,the amount by which something shrinks
n,vehicle.n.1,vehicle.n.2,vehicle.n.1,vehicle.n.2,a conveyance that transports people or objects,a conveyance that transports people or objects,a medium for the expression or achievement of something,a medium for the expression or achievement of something
n,vehicle.n.1,vehicle.n.3,vehicle.n.1,,a conveyance that transports people or objects,a conveyance that transports people or objects,a substance that facilitates the use of a drug or pigment or other material that is mixed with it,a medium for the expression or achievement of something
n,vehicle.n.1,vehicle.n.4,vehicle.n.1,,a conveyance that transports people or objects,a conveyance that transports people or objects,any inanimate object (as a towel or money or clothing or dishes or books or toys etc.) that can transmit infectious agents from one person to another,a medium for the expression or achievement of something
n,vehicle.n.2,vehicle.n.3,vehicle.n.2,,a medium for the expression or achievement of something,a medium for the expression or achievement of something,a substance that facilitates the use of a drug or pigment or other material that is mixed with it,a medium for the expression or achievement of something
n,vehicle.n.2,vehicle.n.4,vehicle.n.2,,a medium for the expression or achievement of something,a medium for the expression or achievement of something,any inanimate object (as a towel or money or clothing or dishes or books or toys etc.) that can transmit infectious agents from one person to another,a medium for the expression or achievement of something
