Unnamed: 0,Pos,Sense1,Sense2,Merge,Sense1_keys,Sense2_keys,wn_oed_feature
0,v,consult#v#3,consult#v#4,not-merged,confer%2:32:00::;confabulate%2:32:01::;confab%2:32:01::;consult%2:32:05::;,consult%2:32:05::;,1.0
1,v,consult#v#3,consult#v#1,not-merged,confer%2:32:00::;confabulate%2:32:01::;confab%2:32:01::;consult%2:32:05::;,consult%2:32:05::;consult%2:32:05::;,1.0
2,v,consult#v#3,consult#v#2,not-merged,confer%2:32:00::;confabulate%2:32:01::;confab%2:32:01::;consult%2:32:05::;,consult%2:32:05::;consult%2:32:05::;consult%2:32:05::;,1.0
3,v,consult#v#4,consult#v#1,not-merged,consult%2:32:00::;,consult%2:32:00::;consult%2:32:00::;,1.0
4,v,consult#v#4,consult#v#2,not-merged,consult%2:32:00::;,consult%2:32:00::;consult%2:32:00::;consult%2:32:00::;,1.0
5,v,consult#v#1,consult#v#2,merged,consult%2:32:02::;confer_with%2:32:00::;,confer_with%2:32:00::;confer_with%2:32:00::;confer_with%2:32:00::;,0.0
9,v,age#v#1,age#v#2,merged,age%2:30:01::;,age%2:30:01::;age%2:30:01::;age%2:30:01::;age%2:30:01::;age%2:30:01::;,1.0
10,v,age#v#1,age#v#3,merged,age%2:30:01::;,age%2:30:01::;,1.0
11,v,age#v#2,age#v#3,merged,senesce%2:30:00::;age%2:30:00::;get_on%2:30:03::;mature%2:30:01::;maturate%2:30:01::;,maturate%2:30:01::;,1.0
12,n,chain#n#1,chain#n#2,not-merged,chain%1:14:00::;concatenation%1:14:00::;,concatenation%1:14:00::;concatenation%1:14:00::;,1.0
13,n,chain#n#1,chain#n#4,not-merged,chain%1:14:00::;concatenation%1:14:00::;,concatenation%1:14:00::;,1.0
14,n,chain#n#1,chain#n#9,not-merged,chain%1:14:00::;concatenation%1:14:00::;,concatenation%1:14:00::;concatenation%1:14:00::;concatenation%1:14:00::;,1.0
15,n,chain#n#1,chain#n#8,not-merged,chain%1:14:00::;concatenation%1:14:00::;,concatenation%1:14:00::;concatenation%1:14:00::;concatenation%1:14:00::;concatenation%1:14:00::;concatenation%1:14:00::;concatenation%1:14:00::;,1.0
16,n,chain#n#1,chain#n#6,not-merged,chain%1:14:00::;concatenation%1:14:00::;,concatenation%1:14:00::;,1.0
17,n,chain#n#2,chain#n#4,not-merged,chain%1:17:00::;chemical_chain%1:17:00::;,chemical_chain%1:17:00::;,0.0
18,n,chain#n#2,chain#n#9,not-merged,chain%1:17:00::;chemical_chain%1:17:00::;,chemical_chain%1:17:00::;chemical_chain%1:17:00::;chemical_chain%1:17:00::;,0.0
19,n,chain#n#2,chain#n#8,not-merged,chain%1:17:00::;chemical_chain%1:17:00::;,chemical_chain%1:17:00::;chemical_chain%1:17:00::;chemical_chain%1:17:00::;chemical_chain%1:17:00::;chemical_chain%1:17:00::;chemical_chain%1:17:00::;,0.0
