Unnamed: 0,Pos,Sense1,Sense2,Merge,Sense1_keys,Sense2_keys,wn_oed_feature
0,v,roll#v#12,wander#v#03,merged,roll%2:38:09::;wander%2:38:00::;swan%2:38:00::;stray%2:38:01::;tramp%2:38:02::;roam%2:38:00::;cast%2:38:01::;ramble%2:38:01::;rove%2:38:00::;range%2:38:00::;drift%2:38:01::;vagabond%2:38:00::;,vagabond%2:38:00::;,0.0
1,v,observe#v#06,observe#v#09,merged,observe%2:41:02::;celebrate%2:41:01::;keep%2:41:05::;,keep%2:41:05::;keep%2:41:05::;,1.0
2,v,observe#v#06,observe#v#08,not-merged,observe%2:41:02::;celebrate%2:41:01::;keep%2:41:05::;,keep%2:41:05::;keep%2:41:05::;keep%2:41:05::;,1.0
3,v,observe#v#09,observe#v#08,not-merged,observe%2:41:04::;keep%2:41:03::;,keep%2:41:03::;keep%2:41:03::;keep%2:41:03::;,1.0
4,v,wash_up#v#03,wash_up#v#01,merged,wash_up%2:35:02::;do_the_dishes%2:35:00::;,do_the_dishes%2:35:00::;do_the_dishes%2:35:00::;,0.0
5,v,wash_up#v#03,wash_up#v#04,not-merged,wash_up%2:35:02::;do_the_dishes%2:35:00::;,do_the_dishes%2:35:00::;,0.0
6,v,wash_up#v#03,wash_up#v#02,not-merged,wash_up%2:35:02::;do_the_dishes%2:35:00::;,do_the_dishes%2:35:00::;,0.0
7,v,wash_up#v#01,wash_up#v#04,not-merged,wash_up%2:29:00::;lave%2:29:02::;,lave%2:29:02::;,1.0
8,v,wash_up#v#01,wash_up#v#02,not-merged,wash_up%2:29:00::;lave%2:29:02::;,lave%2:29:02::;,1.0
9,v,wash_up#v#04,wash_up#v#02,merged,wash_up%2:30:00::;,wash_up%2:30:00::;,0.0
12,v,draw#v#20,draw#v#04,not-merged,draw%2:35:02::;,draw%2:35:02::;draw%2:35:02::;,1.0
13,v,draw#v#20,draw#v#06,not-merged,draw%2:35:02::;,draw%2:35:02::;,1.0
15,v,draw#v#20,draw#v#07,not-merged,draw%2:35:02::;,draw%2:35:02::;draw%2:35:02::;,1.0
16,v,draw#v#20,draw#v#05,not-merged,draw%2:35:02::;,draw%2:35:02::;draw%2:35:02::;draw%2:35:02::;draw%2:35:02::;draw%2:35:02::;,1.0
17,v,draw#v#20,draw#v#09,not-merged,draw%2:35:02::;,draw%2:35:02::;,1.0
25,v,draw#v#20,draw#v#12,not-merged,draw%2:35:02::;,draw%2:35:02::;,1.0
28,v,draw#v#20,draw#v#22,not-merged,draw%2:35:02::;,draw%2:35:02::;,1.0
31,v,draw#v#16,draw#v#10,not-merged,draw%2:30:14::;,draw%2:30:14::;,1.0
32,v,draw#v#16,draw#v#04,not-merged,draw%2:30:14::;,draw%2:30:14::;draw%2:30:14::;,1.0
33,v,draw#v#16,draw#v#06,not-merged,draw%2:30:14::;,draw%2:30:14::;,1.0
35,v,draw#v#16,draw#v#07,not-merged,draw%2:30:14::;,draw%2:30:14::;draw%2:30:14::;,1.0
36,v,draw#v#16,draw#v#05,not-merged,draw%2:30:14::;,draw%2:30:14::;draw%2:30:14::;draw%2:30:14::;draw%2:30:14::;draw%2:30:14::;,1.0
37,v,draw#v#16,draw#v#09,not-merged,draw%2:30:14::;,draw%2:30:14::;,1.0
45,v,draw#v#16,draw#v#12,not-merged,draw%2:30:14::;,draw%2:30:14::;,1.0
46,v,draw#v#16,draw#v#15,not-merged,draw%2:30:14::;,draw%2:30:14::;draw%2:30:14::;,1.0
48,v,draw#v#16,draw#v#22,not-merged,draw%2:30:14::;,draw%2:30:14::;,1.0
51,v,draw#v#10,draw#v#04,not-merged,draw%2:37:01::;,draw%2:37:01::;draw%2:37:01::;,1.0
52,v,draw#v#10,draw#v#06,not-merged,draw%2:37:01::;,draw%2:37:01::;,1.0
54,v,draw#v#10,draw#v#07,not-merged,draw%2:37:01::;,draw%2:37:01::;draw%2:37:01::;,1.0
55,v,draw#v#10,draw#v#05,not-merged,draw%2:37:01::;,draw%2:37:01::;draw%2:37:01::;draw%2:37:01::;draw%2:37:01::;draw%2:37:01::;,1.0
56,v,draw#v#10,draw#v#09,not-merged,draw%2:37:01::;,draw%2:37:01::;,1.0
64,v,draw#v#10,draw#v#12,not-merged,draw%2:37:01::;,draw%2:37:01::;,1.0
67,v,draw#v#10,draw#v#22,not-merged,draw%2:37:01::;,draw%2:37:01::;,1.0
70,v,draw#v#04,draw#v#06,merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
71,v,draw#v#04,draw#v#19,merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
72,v,draw#v#04,draw#v#07,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;make%2:31:00::;,1.0
73,v,draw#v#04,draw#v#05,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;make%2:31:00::;make%2:31:00::;make%2:31:00::;make%2:31:00::;,1.0
74,v,draw#v#04,draw#v#09,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
75,v,draw#v#04,draw#v#14,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;make%2:31:00::;,1.0
76,v,draw#v#04,draw#v#17,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
77,v,draw#v#04,draw#v#21,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
78,v,draw#v#04,draw#v#36,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
79,v,draw#v#04,draw#v#33,not-merged,draw%2:31:00::;make%2:31:00::;,make%2:31:00::;,1.0
