sense1,ants1, deri1, vgrp1, pert1, sense2,ants2, deri2, vgrp2, pert2, merge
Sense1,,,,,Sense2,,,,,Merge
consult#v#3,,consultation#n#2; consultation#n#1,,,consult#v#4,,consultive#a#1; consultative#a#1; consultatory#a#1; consultation#n#2; consultant#n#1,,,not-merged
consult#v#3,,consultation#n#2; consultation#n#1,,,consult#v#1,,consultive#a#1; consultative#a#1; consultatory#a#1; consultation#n#2; consultation#n#1,,,not-merged
consult#v#3,,consultation#n#2; consultation#n#1,,,consult#v#2,,consultation#n#2; consultation#n#3,,,not-merged
consult#v#4,,consultive#a#1; consultative#a#1; consultatory#a#1; consultation#n#2; consultant#n#1,,,consult#v#1,,consultive#a#1; consultative#a#1; consultatory#a#1; consultation#n#2; consultation#n#1,,,not-merged
consult#v#4,,consultive#a#1; consultative#a#1; consultatory#a#1; consultation#n#2; consultant#n#1,,,consult#v#2,,consultation#n#2; consultation#n#3,,,not-merged
consult#v#1,,consultive#a#1; consultative#a#1; consultatory#a#1; consultation#n#2; consultation#n#1,,,consult#v#2,,consultation#n#2; consultation#n#3,,,merged
age#v#1,,,,,age#v#2,,age#n#3; age#n#4,,,merged
age#v#1,,,,,age#v#3,rejuvenate#v#3,age#n#4,,,merged
age#v#2,,age#n#3; age#n#4,,,age#v#3,rejuvenate#v#3,age#n#4,,,merged
chain#n#1,,catenulate#v#1; catenate#v#1,,,chain#n#2,,catenulate#v#1; catenate#v#1,,,not-merged
chain#n#1,,catenulate#v#1; catenate#v#1,,,chain#n#4,,,,,not-merged
chain#n#1,,catenulate#v#1; catenate#v#1,,,chain#n#9,,,,,not-merged
chain#n#1,,catenulate#v#1; catenate#v#1,,,chain#n#8,,,,,not-merged
chain#n#1,,catenulate#v#1; catenate#v#1,,,chain#n#6,,,,,not-merged
chain#n#2,,catenulate#v#1; catenate#v#1,,,chain#n#4,,,,,not-merged
chain#n#2,,catenulate#v#1; catenate#v#1,,,chain#n#9,,,,,not-merged
chain#n#2,,catenulate#v#1; catenate#v#1,,,chain#n#8,,,,,not-merged
chain#n#2,,catenulate#v#1; catenate#v#1,,,chain#n#6,,,,,not-merged
chain#n#4,,,,,chain#n#9,,,,,not-merged
chain#n#4,,,,,chain#n#8,,,,,not-merged
chain#n#4,,,,,chain#n#6,,,,,not-merged
chain#n#9,,,,,chain#n#8,,,,,not-merged
chain#n#9,,,,,chain#n#6,,,,,not-merged
chain#n#8,,,,,chain#n#6,,,,,not-merged
guideline#n#1,,,,,guideline#n#2,,,,,not-merged
guideline#n#1,,,,,guideline#n#3,,,,,not-merged
guideline#n#2,,,,,guideline#n#3,,,,,merged
provide#v#3,,provision#n#1,,,provide#v#1,,provision#n#2; provider#n#1,,,not-merged
provide#v#3,,provision#n#1,,,provide#v#2,,provision#n#2; provider#n#2,,,not-merged
provide#v#3,,provision#n#1,,,provide#v#4,,,,,not-merged
provide#v#3,,provision#n#1,,,provide#v#5,,,allow#v#7,,not-merged
provide#v#3,,provision#n#1,,,provide#v#6,,provision#n#2,,,not-merged
provide#v#3,,provision#n#1,,,provide#v#7,,provident#a#1,,,not-merged
provide#v#1,,provision#n#2; provider#n#1,,,provide#v#2,,provision#n#2; provider#n#2,,,merged
provide#v#1,,provision#n#2; provider#n#1,,,provide#v#4,,,,,merged
provide#v#1,,provision#n#2; provider#n#1,,,provide#v#5,,,allow#v#7,,merged
provide#v#1,,provision#n#2; provider#n#1,,,provide#v#6,,provision#n#2,,,not-merged
provide#v#1,,provision#n#2; provider#n#1,,,provide#v#7,,provident#a#1,,,not-merged
