sense1,sense2,lch,hso,jcn,leskvalue,linvalue,resvalue,vecvalue,wupvalue,merge
Sense1,Sense2,,,,,,,,,Merge
consult#v#3,consult#v#4,1.94591014905531,4,0,1,0,5.90904011481655,0.192653649428499,0.823529411764706,not-merged
consult#v#3,consult#v#1,1.38629436111989,0,0.0736678969831913,5,0.301703880636702,2.93246609789686,0.458804973591007,0.571428571428571,not-merged
consult#v#3,consult#v#2,0.847297860387204,0,0.051132196824539,7,0,0,0.358708918136359,0.153846153846154,not-merged
consult#v#4,consult#v#1,1.25276296849537,0,0,2,0,2.93246609789686,0.255969392813075,0.533333333333333,not-merged
consult#v#4,consult#v#2,0.767255152713667,0,0,3,0,0,0.238448992102742,0.142857142857143,not-merged
consult#v#1,consult#v#2,1.02961941718116,0,0.0562892240249128,6,0,0,0.453857647834865,0.181818181818182,merged
age#v#,age#v#1,,,,,,,,,not-merged
age#v#,age#v#2,,,,,,,,,not-merged
age#v#,age#v#3,,,,,,,,,not-merged
age#v#1,age#v#2,2.23359222150709,5,0.0990127241810863,298,0.568910659849873,6.6643190764835,0.800339465988652,0.857142857142857,merged
age#v#1,age#v#3,1.13497993283898,0,0,21,0,0,0.555913086716744,0.2,merged
age#v#2,age#v#3,1.13497993283898,16,0,6,0,0,0.719765332022264,0.2,merged
chain#n#1,chain#n#2,1.15267950993839,0,0.0469651170206881,53,0,0,0.660349281671415,0.266666666666667,not-merged
chain#n#1,chain#n#4,1.33500106673234,0,0.0567169592681863,51,0.212567462560697,2.37980020271684,0.690058633246625,0.526315789473684,not-merged
chain#n#1,chain#n#9,0.80437281567017,0,0.0446607791523895,22,0,0,0.665820605258892,0.2,not-merged
chain#n#1,chain#n#8,1.15267950993839,0,0.0446607791523895,67,0,0,0.563954124677403,0.266666666666667,not-merged
chain#n#1,chain#n#6,1.33500106673234,0,0,34,0,0.51618869190567,0.627651843399843,0.470588235294118,not-merged
chain#n#2,chain#n#4,1.07263680226485,0,0.0417860073258581,62,0,0,0.629493055358696,0.25,not-merged
chain#n#2,chain#n#9,1.15267950993839,0,0.0452216368135867,19,0.0759731343182237,0.909073864437029,0.554900430294559,0.352941176470588,not-merged
chain#n#2,chain#n#8,1.69167601067107,0,0.0452216368135867,89,0.0759731343182237,0.909073864437029,0.559225323540009,0.5,not-merged
chain#n#2,chain#n#6,1.23969088692802,0,0,56,0,0,0.790951612587008,0.285714285714286,not-merged
chain#n#4,chain#n#9,0.747214401830221,0,0.0399519483682114,22,0,0,0.533014901097071,0.19047619047619,not-merged
chain#n#4,chain#n#8,1.07263680226485,0,0.0399519483682114,72,0,0,0.612469051723749,0.25,not-merged
chain#n#4,chain#n#6,1.23969088692802,0,0,54,0,0.51618869190567,0.642298763694449,0.444444444444444,not-merged
chain#n#9,chain#n#8,1.33500106673234,0,0.0451310591124119,25,0.11475712837362,1.43618938575883,0.491934529410105,0.470588235294118,not-merged
chain#n#9,chain#n#6,0.864997437486605,0,0,21,0,0,0.511918623644289,0.210526315789474,not-merged
chain#n#8,chain#n#6,1.23969088692802,0,0,71,0,0,0.572507068132413,0.285714285714286,not-merged
guideline#n#1,guideline#n#2,1.55814461804655,0,0,13,0,2.78364067947684,0.427980400513436,0.588235294117647,not-merged
guideline#n#1,guideline#n#3,1.07263680226485,0,0,10,0,0.51618869190567,0.199642767294719,0.4,not-merged
guideline#n#2,guideline#n#3,1.84582669049833,2,0,16,0,3.84220571242676,0.339387560398399,0.761904761904762,merged
provide#v#3,provide#v#1,0.934309237376833,0,0.0705887841564566,23,0,0,0.692397470023357,0.166666666666667,not-merged
provide#v#3,provide#v#2,0.934309237376833,0,0.0650105402033897,24,0,0,0.74237874728455,0.166666666666667,not-merged
provide#v#3,provide#v#4,0.934309237376833,0,0.0521380377426538,5,0,0,0.372880782106748,0.166666666666667,not-merged
provide#v#3,provide#v#5,0.767255152713667,0,0.0576192676248521,19,0,0,0.691530608900051,0.142857142857143,not-merged
provide#v#3,provide#v#6,0.847297860387204,0,0,15,0,0,0.55010575579195,0.153846153846154,not-merged
provide#v#3,provide#v#7,0.934309237376833,0,0,22,0,0,0.498592316882601,0.166666666666667,not-merged
provide#v#1,provide#v#2,2.23359222150709,5,0.274690605214745,204,0.680617807932865,3.87899132846629,0.880940289869402,0.75,merged
provide#v#1,provide#v#4,1.38629436111989,0,0.0658060293941852,10,0,0,0.449993035764143,0.25,merged
provide#v#1,provide#v#5,2.23359222150709,6,0.313602595417689,59,0.761528705104815,5.09143875978319,0.870640545159201,0.8,merged
provide#v#1,provide#v#6,1.94591014905531,4,0,10,0,3.87899132846629,0.681227611537277,0.666666666666667,not-merged
