Pos,Sense1,Sense2,Merge,lch,hso,jcn,leskvalue,linvalue,resvalue,vecvalue,wupvalue,pertainyms,antonyms,deriv,lemmas,verbgroup,verbframe,hyper_min,hyper_max,wn_oed_feature
v,roll#v#12,wander#v#03,merged,1.9459101490000001,4.0,0.0,10.0,0.0,3.31824598,0.559980866,0.5714285714,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0
v,observe#v#06,observe#v#09,merged,2.233592222,0.0,0.056615014129999995,9.0,0.0,0.0,0.3950495868,0.5,0.0,0.0,1.0,2.0,0.0,1.0,,,1.0
v,observe#v#06,observe#v#08,not-merged,2.233592222,0.0,0.05631115982999999,11.0,0.0,0.0,0.3332544617,0.5,0.0,0.0,0.0,2.0,0.0,1.0,,,1.0
v,observe#v#09,observe#v#08,not-merged,2.233592222,0.0,0.05339635584,9.0,0.0,0.0,0.3263537778,0.5,0.0,0.0,0.0,2.0,0.0,1.0,,,1.0
v,wash_up#v#03,wash_up#v#01,merged,1.386294361,2.0,0.0,5.0,0.0,0.0,0.2423698054,0.25,0.0,0.0,1.0,1.0,0.0,1.0,,,0.0
v,wash_up#v#03,wash_up#v#04,not-merged,1.540445041,0.0,0.0,4.0,0.0,0.0,0.4356274907,0.2857142857,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
v,wash_up#v#03,wash_up#v#02,not-merged,1.1349799329999999,0.0,0.0,3.0,0.0,0.0,0.20841908969999998,0.2,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
v,wash_up#v#01,wash_up#v#04,not-merged,1.540445041,0.0,0.0,4.0,0.0,0.0,0.40410359170000004,0.2857142857,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,wash_up#v#01,wash_up#v#02,not-merged,1.1349799329999999,0.0,0.0,4.0,0.0,0.0,0.19424555940000002,0.2,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,wash_up#v#04,wash_up#v#02,merged,1.2527629679999999,0.0,0.0,15.0,0.0,0.0,0.40220213740000005,0.22222222219999999,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0
v,draw#v#20,draw#v#04,not-merged,1.540445041,0.0,0.05090571308999999,8.0,0.0,0.0,0.2849905241,0.2857142857,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#20,draw#v#06,not-merged,1.386294361,0.0,0.04869028392,12.0,0.0,0.0,0.3544761036,0.25,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#20,draw#v#07,not-merged,1.7227665980000002,0.0,0.04793082437,16.0,0.0,0.0,0.407638227,0.3333333333,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#20,draw#v#05,not-merged,1.7227665980000002,0.0,0.04841264277,20.0,0.0,0.0,0.36718004229999995,0.3333333333,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#20,draw#v#09,not-merged,1.540445041,0.0,0.04621800236,8.0,0.0,0.0,0.3211650593,0.2857142857,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#20,draw#v#12,not-merged,1.7227665980000002,0.0,0.045367819079999996,14.0,0.0,0.0,0.4304222735,0.3333333333,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#20,draw#v#22,not-merged,1.7227665980000002,0.0,0.0,4.0,0.0,0.0,0.31154296530000003,0.3333333333,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#16,draw#v#10,not-merged,1.540445041,0.0,0.047335563780000006,4.0,0.0,0.0,0.313324956,0.2857142857,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#16,draw#v#04,not-merged,1.540445041,0.0,0.052767626799999995,7.0,0.0,0.0,0.4665428084,0.2857142857,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#16,draw#v#06,not-merged,1.386294361,0.0,0.050390955130000005,14.0,0.0,0.0,0.6192224493999999,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#16,draw#v#07,not-merged,1.7227665980000002,2.0,0.04957795863,15.0,0.0,0.0,0.7930571051,0.3333333333,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#16,draw#v#05,not-merged,1.7227665980000002,2.0,0.05009363938,15.0,0.0,0.0,0.4820064459,0.3333333333,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#16,draw#v#09,not-merged,1.540445041,0.0,0.047747639929999995,13.0,0.0,0.0,0.614634817,0.2857142857,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#16,draw#v#12,not-merged,1.7227665980000002,0.0,0.04684080191000001,6.0,0.0,0.0,0.5835756828,0.3333333333,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#16,draw#v#15,not-merged,1.386294361,0.0,0.045367819079999996,7.0,0.0,0.0,0.4559814802,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#16,draw#v#22,not-merged,1.7227665980000002,0.0,0.0,4.0,0.0,0.0,0.6062235833,0.3333333333,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#10,draw#v#04,not-merged,1.7227665980000002,3.0,0.09039799602,5.0,0.3866170076,3.4862652460000003,0.2199171784,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
v,draw#v#10,draw#v#06,not-merged,1.540445041,2.0,0.08363994339,7.0,0.36836070340000004,3.4862652460000003,0.38803579340000005,0.44444444439999997,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5,1.0
v,draw#v#10,draw#v#07,not-merged,1.540445041,0.0,0.05193735987,9.0,0.0,0.0,0.3079699587,0.2857142857,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#10,draw#v#05,not-merged,1.540445041,0.0,0.05250357101,7.0,0.0,0.0,0.2327986591,0.2857142857,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#10,draw#v#09,not-merged,1.386294361,0.0,0.049932210070000003,6.0,0.0,0.0,0.2496590069,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#10,draw#v#12,not-merged,1.540445041,0.0,0.048941354709999996,3.0,0.0,0.0,0.1916317218,0.2857142857,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#10,draw#v#22,not-merged,1.540445041,0.0,0.0,2.0,0.0,0.0,0.24850947420000002,0.2857142857,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#04,draw#v#06,merged,1.540445041,2.0,0.10223633509999999,15.0,0.4161763399,3.4862652460000003,0.4532410846,0.44444444439999997,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5,1.0
v,draw#v#04,draw#v#19,merged,1.386294361,0.0,0.05090571308999999,7.0,0.0,0.0,0.49065762939999996,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
v,draw#v#04,draw#v#07,not-merged,1.540445041,0.0,0.058550713479999995,11.0,0.0,0.0,0.4497247564,0.2857142857,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#04,draw#v#05,not-merged,1.540445041,0.0,0.05927130034,15.0,0.0,0.0,0.3185581748,0.2857142857,0.0,0.0,0.0,1.0,0.0,1.0,,,1.0
v,draw#v#04,draw#v#09,not-merged,1.386294361,0.0,0.05601487421,10.0,0.0,0.0,0.3669348221,0.25,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
